"rank","Player","GP","tau","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
258,"BFW de Leede",50,3.22073305994915,2.89021343554507,3.68309187779799,285,17,620.1,603.1,0.001,0.04
259,"WB Phillips",41,3.21945307233021,3.03285160242828,3.46433339597282,278,81,461.125,380.125,0,0.002
260,"CK Coventry",35,3.21812004722819,3.02517605719211,3.43081994295251,269,108.975,474.025,365.05,0,0.001
261,"RW Marsh",76,3.21622907967113,3.0481328187183,3.40274132219885,274,116.975,455,338.025,0,0
262,"M Dillon",48,3.21597087345603,2.97548573316616,3.45075575004892,268.5,89.975,530.025,440.05,0,0
263,"AT Nidamanuru",37,3.21500904647291,3.02393596059623,3.40118320867781,272.5,121.975,474.05,352.075,0,0
264,"MR Marsh",95,3.21413980849521,3.07668128381459,3.3709190438276,272,142,420.05,278.05,0,0
265,"B McMullen",33,3.21410966724157,3.0197280549124,3.43951082625485,278,94,475.025,381.025,0,0.002
266,"IVA Richards",167,3.21342441316927,3.09079224982923,3.33337859756847,272,173.975,387,213.025,0,0
267,"Manzoor Elahi",46,3.21280151487019,3.00513426213381,3.43495312402288,277,101.95,502,400.05,0,0.001
268,"SR Mukkamalla",32,3.21185104413364,2.95384739774375,3.52725665185507,279.5,56,566.1,510.1,0,0.007
269,"ST Jayasuriya",432,3.21171202020357,3.09839253575012,3.32096366396692,274,180,383,203,0,0
270,"Mohammad Nabi",154,3.2114593793665,3.0739113858032,3.34828963310446,275,161,413,252,0,0
271,"RV Uthappa",41,3.2107768919919,3.0160865668041,3.40814423583897,270.5,109,479.025,370.025,0,0
272,"NP Kenjige",41,3.20996511561899,2.96573829637313,3.46418804646463,277,86.975,535.025,448.05,0,0.005
273,"DJ Mitchell",50,3.20847443100042,3.01546924363756,3.44241778214245,282,96.925,482,385.075,0,0.004
274,"AR McBrine",65,3.20721348371386,3.04334993478861,3.38342556729508,278.5,141.975,457.075,315.1,0,0
275,"DA Warner",159,3.20710888317942,3.07210396714794,3.34909077418689,278,160.95,424.025,263.075,0,0
276,"AC Waller",38,3.20627026980298,2.94555240461988,3.52623630143135,289,60.875,566.025,505.15,0,0.005
277,"AD Hales",67,3.20534565833534,3.07024616644067,3.34856723768279,283.5,161.975,419,257.025,0,0
278,"BM McMillan",52,3.20408136135741,3.01444145284154,3.43728792206029,290,98.975,492,393.025,0,0.003
279,"EJG Morgan",230,3.20371100517365,3.08351406160419,3.33549177989503,282,175.975,420.025,244.05,0,0
280,"Mohammad Rizwan",85,3.20276842807458,3.0358113830146,3.39229355956191,282,127.975,465,337.025,0,0
281,"RA Harper",71,3.20149480615418,3.02153556517267,3.39949622140102,283,123,479.025,356.025,0,0
282,"CPH Ramanayake",34,3.20111446338916,2.91400532470281,3.48533954512985,286,73.975,609.025,535.05,0,0.001
283,"CB Mpofu",38,3.19741707368938,2.88593435933632,3.52242770437016,283,58,626.025,568.025,0,0.004
284,"IR Bishop",43,3.19426698910927,2.97869569084515,3.42187796745516,290,111.925,535.025,423.1,0,0
285,"SMH Kirmani",31,3.19260116701792,2.95353144815334,3.46106655655159,297,82.975,561.175,478.2,0,0
286,"Sabbir Rahman",58,3.18899022039574,3.02232542261076,3.36099886493173,302,146.95,472.075,325.125,0,0
287,"Kamran Akmal",138,3.18814218213953,3.05892542754763,3.32241429806754,294.5,182,431,249,0,0
288,"KM Jarvis",32,3.18735483785893,2.95527506657169,3.4543980277718,298,92.975,551.025,458.05,0,0.001
289,"N Kapil Dev",196,3.18682627358332,3.04638041723326,3.33444764777205,296,166,454,288,0,0
290,"Kuldeep Yadav",38,3.18667926440763,2.94549662242839,3.43220831326319,301,99.925,566.1,466.175,0,0
291,"BKG Mendis",144,3.18585293590704,3.04963051623605,3.3320964364362,301,176.975,440.025,263.05,0,0
292,"HE van der Dussen",65,3.18517140025273,2.99878992414744,3.41157023505719,309,112,498.075,386.075,0,0.001
293,"S Prasanna",36,3.18511486975303,2.96016303181608,3.38779493447578,298.5,123.975,539.025,415.05,0,0
294,"JM Davison",32,3.18455501184526,2.92854698822171,3.47533852678355,297,79,587.05,508.05,0,0.002
295,"UDU Chandana",110,3.18401201181004,3.03901236296155,3.33133951594133,301,177.975,453.025,275.05,0,0
296,"Asif Khan",37,3.18389009551679,2.96249752562914,3.45301622633199,312,78.975,549.05,470.075,0.001,0.005
297,"C Campher",35,3.18270644001423,2.97709320678459,3.4209771483851,305.5,115.975,532.025,416.05,0,0
298,"RS Kalpage",68,3.18269254846629,3.00906979609147,3.35205551923803,306.5,149,491.025,342.025,0,0
299,"CO Browne",32,3.18131753349252,2.90347069885402,3.46394843362009,304.5,90,604.05,514.05,0,0
300,"Taskin Ahmed",45,3.18122139518297,2.9363520363443,3.41233164291173,305,120.8,573.025,452.225,0,0
301,"KD Karthik",79,3.1807672106242,3.01428095153791,3.35507046085562,301,154.975,479.1,324.125,0,0
302,"A Sharma",20,3.18050326695069,2.89101522978118,3.55705406035116,315,40.925,624.275,583.35,0,0.012
303,"Aasif Sheikh",61,3.18032509749602,2.98186175199801,3.47511823803948,320,78.875,524.025,445.15,0,0.004
304,"Mashrafe Mortaza",157,3.18008693715137,3.02825240222441,3.32620789100552,304,169,472.025,303.025,0,0
305,"PR Reiffel",57,3.17988643955626,2.98877538051438,3.38492101587322,308,134.975,514.05,379.075,0,0
306,"MA Holding",40,3.17901677417556,2.94796861551075,3.40891038792466,302,119,551.025,432.025,0,0
307,"GD Elliott",69,3.17656698628051,3.02107631924889,3.33634576863006,311,165.975,475.025,309.05,0,0
308,"MDKJ Perera",111,3.17360344723967,3.03632740712355,3.32023788069548,313,179,465.025,286.025,0,0
309,"AJ Hollioake",30,3.17321522989407,2.9683337990585,3.40447741441581,316,119,541.1,422.1,0,0
310,"DR Martyn",182,3.17275563226559,3.02474059789857,3.31842037598531,310,180.975,474.05,293.075,0,0
311,"Rubel Hossain",47,3.17081630459019,2.93590061579739,3.40447753065391,314,121,578.05,457.05,0,0
312,"TJ Friend",38,3.17038717570347,2.9471272924489,3.43073938650349,324,99.975,570.025,470.05,0,0.002
313,"JO Holder",112,3.16962020114326,2.98454685880857,3.35126740821887,312,158,521.025,363.025,0,0
314,"WKM Benjamin",50,3.16947573670679,2.94399405909882,3.40888369674073,321,112.925,571.15,458.225,0,0
315,"KIC Asalanka",70,3.16847012185044,3.0145836947911,3.32460898172853,318,179.975,477.05,297.075,0,0
316,"AJ Finch",142,3.16590591853383,3.04407860110196,3.30757589210205,320,195.975,454.15,258.175,0,0
317,"HK Badani",36,3.16481039229653,2.93544952791099,3.48185844275754,335,76.95,588,511.05,0,0.006
318,"TT Samaraweera",41,3.16476853670122,2.96088497430028,3.3874801049451,320,127.975,560.075,432.1,0,0
319,"AT Rayudu",50,3.16455029082055,2.99662067514432,3.33976401783112,324,169,509.025,340.025,0,0
320,"JR Hopes",61,3.16440343055674,2.96319740871906,3.36521043755714,319,141.975,542,400.025,0,0
321,"GB Brent",52,3.16393496049107,2.96273388767695,3.38071561358007,325.5,141.85,541,399.15,0,0
322,"Saleem Yousuf",59,3.162612224136,2.97960366376042,3.34400847267983,325,156,536,380,0,0
323,"CA Ingram",29,3.16117152783462,2.94587598341279,3.38260499746986,323,134.975,563.05,428.075,0,0
324,"Gulbadin Naib",78,3.16057871992754,3.01654336462496,3.32266408885084,326,177.95,481.025,303.075,0,0
325,"CD Collymore",33,3.16031731597783,2.82586620227235,3.5434598371791,339,48,680.075,632.075,0,0.014
326,"DJ Bravo",141,3.15803234098228,3.02721747447665,3.29161235772304,328,201.975,467.075,265.1,0,0
327,"Shaiman Anwar",40,3.15499339084877,2.8924379946322,3.46528915480385,338.5,78.9,615.075,536.175,0,0.005
328,"Mudassar Bukhari",34,3.15328619919391,2.94648441623876,3.38436475023229,335,128,562.05,434.05,0,0
329,"B Muzarabani",39,3.15325611557508,2.85795683470054,3.52874959188893,347.5,55.95,655.025,599.075,0,0.012
330,"DW Steyn",51,3.15279223821159,2.94277959384484,3.35532056584238,330,151.975,575,423.025,0,0
331,"R McLaren",41,3.15203579877277,2.9343075079101,3.37144244814018,331,143.925,579.1,435.175,0,0.001
332,"T Panyangara",47,3.1485062442536,2.90262973133672,3.41249467951926,342.5,108.975,614.125,505.15,0,0
333,"AN Kervezee",36,3.1481345339637,2.92336846503017,3.47303642637988,349,79.95,596.05,516.1,0,0.003
334,"Misbah-ul-Haq",146,3.14687682370977,2.98167997767168,3.33814479156419,341,165.9,531.05,365.15,0,0
335,"GRJ Matthews",49,3.14333071431866,2.96093887109692,3.34996345472361,343,159,555.025,396.025,0,0
336,"TL Chatara",56,3.14328787336288,2.95387333023809,3.35699550045125,346,151.975,554,402.025,0,0
337,"Mahmudullah",209,3.14235437240335,3.01665835939735,3.27033035287843,344,223.975,484,260.025,0,0
338,"E Chigumbura",197,3.1412243668246,3.01666919622123,3.26049455013838,344,229.95,492.025,262.075,0,0
339,"Babar Azam",131,3.14120285285238,3.02541782326442,3.2643198544262,350,230,472.025,242.025,0,0
340,"DN Patel",63,3.13809206104257,2.97511800977635,3.31642899231021,348,184,534.075,350.075,0,0
341,"HT Tector",49,3.1369266298816,2.94122585185616,3.35780388193974,356.5,146.95,564,417.05,0,0
342,"KP Pietersen",125,3.13689216146282,3.00424308771215,3.27901258259827,350,224.95,492,267.05,0,0
343,"CK Kapugedera",84,3.13629790649687,2.98418760526876,3.32053737556713,357,185.925,520.025,334.1,0,0
344,"Towhid Hridoy",40,3.1359920702307,2.93293446575856,3.36018490641413,358.5,141,577.075,436.075,0,0.001
345,"F du Plessis",136,3.13524636004966,3.00655177090089,3.26950471520094,353,226.975,498.025,271.05,0,0
346,"RAS Lakmal",46,3.13489135196143,2.87744116744675,3.40021625834374,355,120.95,636.075,515.125,0,0
347,"GO Jones",43,3.13463520156497,2.95105949362304,3.33265661761486,352.5,176,562.025,386.025,0,0
348,"Saqlain Mushtaq",94,3.13235054007393,2.8913439222154,3.45280732302814,368.5,86.925,624.025,537.1,0,0.003
349,"SR Waugh",287,3.13074553679677,3.01294093504952,3.24793796276002,356,242.975,488,245.025,0,0
350,"SR Tendulkar",452,3.1301181142581,3.02481636260272,3.23886554815848,356,250.975,475,224.025,0,0
351,"Najibullah Zadran",84,3.12985541973595,2.96744250090316,3.30580194047766,357,191.975,548.05,356.075,0,0
352,"LRPL Taylor",220,3.12906480117408,3.00902123155379,3.2476465234758,358,247,490,243,0,0
353,"MA Suji",49,3.12876101238968,2.87782524252436,3.37938139229642,355,138,637.075,499.075,0,0
354,"GJ Bailey",85,3.12845263944621,2.97127638517921,3.34739010993379,369,158.925,536.125,377.2,0,0.001
355,"TWM Latham",147,3.1280850034944,2.99454327647206,3.26196217739616,360,234,511,277,0,0
356,"S Samarawickrama",47,3.1277624650755,2.9510983153244,3.31727336669652,362,178.975,558.025,379.05,0,0
357,"HM Amla",178,3.12687528079748,3.02245121574428,3.23876656166582,361,243.975,477.025,233.05,0,0
