"rank","Player","GP","tau","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
444,"Litton Das",94,3.05741990063117,2.909576916941,3.20587869137991,443,286.95,603,316.05,0,0
445,"L Siaka",47,3.05741857915815,2.87619118273639,3.23252960047196,441,257.925,644.025,386.1,0,0
446,"PJL Dujon",120,3.05730436398048,2.91188415720156,3.23115694926384,447,249,600.025,351.025,0,0
447,"Shoaib Malik",257,3.05701362536171,2.90846085282489,3.19762265566405,441,280,604.025,324.025,0,0
448,"Tamim Iqbal",240,3.05680101481692,2.93632374250754,3.17755934286168,442,310.925,578.025,267.1,0,0
449,"Q de Kock",155,3.05630413265038,2.933934903139,3.18217613866771,440,298.975,582,283.025,0,0
450,"PW Borren",50,3.05618808331749,2.89038748697362,3.24166774452857,441,244.875,625.025,380.15,0,0
451,"SB Styris",161,3.05534949440988,2.93834460051099,3.18258313564538,444,302.975,577.025,274.05,0,0
452,"DP Conway",35,3.0549884861507,2.87475456588245,3.255073246921,446.5,227.95,639.075,411.125,0,0
453,"BJ McCarthy",30,3.05402192702286,2.81012287136379,3.3056348925448,449,194.975,692,497.025,0,0
454,"M Kaif",110,3.05359915454147,2.90538016931772,3.20533246505374,447,285,609.05,324.05,0,0
455,"BRM Taylor",205,3.05324081461984,2.91719615980526,3.18300820259796,444,307.975,587.025,279.05,0,0
456,"Shubman Gill",58,3.05276867950443,2.84981624073922,3.26417484295898,449.5,230.825,663.025,432.2,0,0
457,"SR Taylor",49,3.05231886838903,2.88289854531813,3.22161564786709,444,261.975,638,376.025,0,0
458,"Fawad Alam",36,3.05082392074362,2.8398932553612,3.26940815303107,452,216.875,667,450.125,0,0
459,"RP Arnold",155,3.05078048892371,2.92782511659148,3.17459993927776,449,303.975,585,281.025,0,0
460,"JM Anderson",69,3.05055191651486,2.80899358819806,3.3317317421244,462,164,700.025,536.025,0,0.001
461,"Shoaib Khan",31,3.04967682649725,2.81937933382249,3.27568654270054,449,214.95,684,469.05,0,0
462,"Junaid Siddique",94,3.04860342126826,2.79476731468057,3.3139773854531,458.5,181.9,707,525.1,0,0
463,"A Dananjaya",30,3.04818039005051,2.75946379913212,3.40836555469461,464,121.9,720.075,598.175,0,0.006
464,"KOA Powell",44,3.04702776003833,2.85478188993526,3.24422019275495,454,243,657,414,0,0
465,"TLW Cooper",31,3.044292034409,2.82907912630533,3.26175099930969,456,225,684.05,459.05,0,0
466,"KC Sangakkara",380,3.04224833294504,2.92155831213882,3.15644520666885,459,343,584.025,241.025,0,0
467,"KS Williamson",167,3.04200261884457,2.91377990141267,3.17524889126055,462,317.975,594,276.025,0,0
468,"N Pooran",58,3.03898185677744,2.87426478314167,3.22001279205638,462,262.925,634.025,371.1,0,0
469,"Mohammad Mithun",30,3.03807964568923,2.83245101548146,3.24946747058235,467.5,231.825,680,448.175,0,0
470,"LD Chandimal",142,3.03771537207591,2.90537959122582,3.16738103833351,463,321.975,603,281.025,0,0
471,"MJ Prior",61,3.03516416497581,2.85766072343577,3.21259833891693,467.5,269.975,651.025,381.05,0,0
472,"Basil Hameed",45,3.03430866450304,2.85207028133541,3.24912335737574,473,247.95,660,412.05,0,0
473,"IR Bell",156,3.0326290029949,2.9082016910538,3.15592539765048,471,335.975,606,270.025,0,0
474,"P Utseya",130,3.0313023282425,2.87859343896319,3.20712210938507,470,286.975,637.05,350.075,0,0
475,"RW Price",58,3.02944880907375,2.83755316640208,3.22845934982598,472,258.95,669.1,410.15,0,0
476,"S Matsikenyeri",110,3.02943821110053,2.84690262331483,3.24979073174923,484,237.975,667,429.025,0,0
477,"UT Khawaja",39,3.02929082520833,2.81870607598428,3.25199446974874,475,232,686.025,454.025,0,0
478,"Karim Sadiq",21,3.02706453554177,2.77985316581747,3.27334648433241,479,224.875,713.05,488.175,0,0
479,"ML Nkala",35,3.02704956312733,2.76998373226931,3.31917040440207,482.5,165.975,723.05,557.075,0,0
480,"RL Chase",50,3.02590968514776,2.86327597088503,3.20784784070152,483,272.925,646,373.075,0,0
481,"Khaled Mahmud",72,3.02468325287728,2.86214671480906,3.19186391582443,478.5,293,646.025,353.025,0,0
482,"HH Gibbs",240,3.02362085008687,2.91168533030592,3.1300985238433,478,361,599.025,238.025,0,0
483,"Saleem Malik",256,3.02215720370315,2.90692635555957,3.12830168166049,480,356.975,608.025,251.05,0,0
484,"CA Soper",53,3.02164356300932,2.84163405878288,3.20659608236154,479,283.975,669.025,385.05,0,0
485,"MJ Clarke",223,3.0209083365946,2.90527728509566,3.15089228060595,484.5,338.975,614.025,275.05,0,0
486,"JM Kemp",66,3.01992150497844,2.82266015318297,3.22172007437853,484,256.9,684.025,427.125,0,0
487,"JN Loftie-Eaton",47,3.01837895040057,2.75517995455988,3.39310769090129,504,121.975,723,601.025,0,0.002
488,"LK Germon",31,3.01781379930746,2.79764738874083,3.24153599054324,486.5,241.85,692.075,450.225,0,0
489,"Ayaan Khan",37,3.01735503811644,2.81776983909362,3.21787296133806,489,263.975,678.025,414.05,0,0
490,"JP Duminy",178,3.01701501486261,2.85374040952218,3.18972025785133,488.5,291.975,659.05,367.075,0,0
491,"Zaheer Abbas",60,3.01659957623378,2.84168938429158,3.22388794854829,491.5,270.925,665.05,394.125,0,0
492,"G Gambhir",143,3.0164791295865,2.89870644699891,3.13130806158641,489,350.975,615,264.025,0,0
493,"AJ Strauss",125,3.01563240009312,2.8921213231819,3.14007766027154,490,352.975,620.025,267.05,0,0
494,"KR Mayers",26,3.01483855754489,2.79439720902322,3.22876277149965,492.5,261.9,705,443.1,0,0
495,"M Theekshana",31,3.01472836618686,2.74746695951689,3.29308020625721,490,219.725,727,507.275,0,0
496,"GS Chappell",72,3.01315286148903,2.86015138701609,3.18131682170018,494,307,652.025,345.025,0,0
497,"GJ Whittall",141,3.01030627857328,2.88186166730335,3.14856534973947,495,341.975,637,295.025,0,0
498,"PA Strang",72,3.0102987283336,2.86465909109079,3.16818378955684,497.5,318.975,645,326.025,0,0
499,"Ahmed Raza",41,3.00615212166678,2.81384735342953,3.21551204916901,503.5,266.975,687.075,420.1,0,0
500,"N Vanua",53,3.00475678925431,2.81778068662516,3.19539992116195,501,294,689.025,395.025,0,0
501,"SO Tikolo",130,3.00461218865444,2.87119136413461,3.14025903025766,502.5,351.925,642,290.075,0,0
502,"SD Hope",140,3.00450689713987,2.85989425475196,3.16108828458083,505,318.975,649,330.025,0,0
503,"A Kumble",133,3.00423167127172,2.82529372044991,3.17991770682792,503.5,305.975,680.025,374.05,0,0
504,"GC Smith",194,3.00344363901783,2.8956347275599,3.11956535338993,506,370.975,617,246.025,0,0
505,"DPMD Jayawardene",418,3.00137037346423,2.88521720735825,3.11267287303237,504.5,383.975,631,247.025,0,0
506,"GC Wilson",98,3.00124103444193,2.86405015212964,3.13547996710296,502,356.975,647,290.025,0,0
507,"CJ Nevin",36,3.00066063539351,2.82253294934707,3.21798929438788,510.5,275.95,684.025,408.075,0,0
508,"WA Young",48,2.99934108456973,2.79885609845951,3.22640294540235,509,261,702.025,441.025,0,0
509,"SSJ Brooks",29,2.99851041354,2.76543730979639,3.30798700095958,521,181.95,724.025,542.075,0,0
510,"Aarif Sheikh",52,2.99770454819099,2.79884599952881,3.29044452789357,523,208.9,701,492.1,0,0
511,"RR Sarwan",168,2.99702417187461,2.88489172178707,3.11010302266457,512.5,370.95,630.025,259.075,0,0
512,"Khawar Ali",29,2.99648256935943,2.75350977812419,3.28558304171391,517.5,205.975,729,523.025,0,0
513,"Asghar Afghan",108,2.99465819267573,2.84503882626635,3.14662853141936,515,336.975,659,322.025,0,0
514,"Abdullah Shafique",27,2.99425372777457,2.77238610313122,3.23835321268275,520.5,248.975,716.05,467.075,0,0
515,"MN Waller",72,2.99388659494811,2.82446609605035,3.14881561714189,513.5,338,682.05,344.05,0,0
516,"DA Marillier",41,2.99332024943674,2.7872784612624,3.25364700971787,521,232.875,714.075,481.2,0,0
517,"Inzamam-ul-Haq",350,2.99152692425191,2.89214183820951,3.09942615328184,517,408.95,620,211.05,0,0
518,"IJL Trott",65,2.99067697741639,2.84590015142509,3.1456930072004,516,342.975,663.025,320.05,0,0
519,"MN Samuels",195,2.9903098857202,2.85738950046895,3.12798478042358,517.5,358.975,660,301.025,0,0
520,"JEC Franklin",79,2.98724096076415,2.79093283267702,3.21797413919186,530,273.975,711.025,437.05,0,0
521,"HJH Marshall",62,2.98681525578592,2.8203179706195,3.18314216587196,526,300.8,688.05,387.25,0,0
522,"NK Patel",35,2.98591097190807,2.7681734425615,3.24889347750985,531.5,241.85,716.025,474.175,0,0
523,"C White",40,2.98232601781553,2.7879255413904,3.18602815493017,532,309.975,703.1,393.125,0,0
524,"MA Vermeulen",43,2.98210430617298,2.79064735079527,3.2099406243729,530,279.975,702.025,422.05,0,0
525,"Saeed Anwar",242,2.98196472338233,2.87497616901926,3.08795266588883,530,403.975,639.025,235.05,0,0
526,"GP Thorpe",77,2.98193180323526,2.84374859344221,3.12086415288844,529,374.975,658,283.025,0,0
527,"Azhar Ali",53,2.98144846893578,2.82256132662732,3.15249725855636,535,339,683,344,0,0
528,"SM Katich",42,2.9795008995654,2.7842685658692,3.21268996077304,538,274,712,438,0,0
529,"Alok Kapali",66,2.97945645480779,2.7889873772701,3.19476665312444,541,288.975,701.025,412.05,0,0
530,"RD Jacobs",110,2.97941000582005,2.81736224207358,3.15082694991058,533,332.975,692.025,359.05,0,0
531,"MW Gatting",88,2.9792471878424,2.81815371551984,3.15598648470424,534,333.925,689.025,355.1,0,0
532,"Mohammad Wasim",36,2.97903450673475,2.66480354713225,3.44386145967389,559,87.975,769.025,681.05,0,0.002
533,"Imam-ul-Haq",74,2.97901828257877,2.83696147369922,3.13329030236336,532.5,358,667,309,0,0
534,"IH Romaine",34,2.97828115534132,2.75584298284376,3.22373003128269,540.5,265.975,723.025,457.05,0,0
535,"SC Williams",214,2.97817495756706,2.86815750713058,3.08612089697669,534,400,644,244,0,0
536,"SP Fleming",269,2.97706022037596,2.86587319726037,3.08909883855646,533,403,649.05,246.05,0,0
537,"Mohammad Yousuf",273,2.97701378170748,2.85524589140989,3.10726173847739,534,380.95,655,274.05,0,0
538,"RR Patel",34,2.97416060988676,2.68737432579071,3.40115990211447,557.5,113.95,755.025,641.075,0.001,0.004
539,"PR Stirling",162,2.97370765664313,2.85366871960783,3.1046344865501,538.5,393,656,263,0,0
540,"WJ Cronje",175,2.97214824233796,2.83832493530237,3.13230700670206,542,362.975,669.075,306.1,0,0
541,"PM Seelaar",37,2.97086207909726,2.7408635482345,3.2346614455898,544.5,258.875,732,473.125,0,0
542,"JN Rhodes",218,2.97050453642628,2.80352932575785,3.15565064315508,542,329.925,705.025,375.1,0,0
543,"Rahmanullah Gurbaz",52,2.96954477482492,2.77524779256027,3.19724866290041,544,281,716.05,435.05,0,0
544,"WIA Fernando",50,2.96815575646768,2.77479199057698,3.15867023379684,544,329.975,714,384.025,0,0
545,"MA Ealham",45,2.96791032180189,2.7506108294882,3.17137812361453,547,319.95,722.025,402.075,0,0
546,"CN Evans",47,2.96658657604824,2.75542836965552,3.1690840361549,543.5,314.9,730.05,415.15,0,0
547,"Asif Mujtaba",55,2.96616594687751,2.78490198817895,3.14646465128562,548,343.975,702.025,358.05,0,0
548,"CB Wishart",82,2.9658787471261,2.82254497092885,3.11031369003979,550,378,679,301,0,0
549,"AM Samad",27,2.96545433339511,2.75749598190858,3.17639911762938,545.5,306.975,728.025,421.05,0,0
550,"CS MacLeod",86,2.96440268598479,2.8101461296924,3.10513549083746,547,384.975,691,306.025,0,0
551,"AN Cook",92,2.96435239981107,2.82573870302168,3.11120777859076,549,384,672.05,288.05,0,0
552,"PD Collingwood",181,2.96396334094395,2.85128420426297,3.08130460086391,552,405,663,258,0,0
553,"P Nissanka",71,2.96356352587075,2.79569065871874,3.18457980941333,559,297.975,700.05,402.075,0,0
554,"JA Rudolph",39,2.96300352388222,2.77572778565936,3.18831780256184,557,296.975,714.025,417.05,0,0
555,"JR Thomson",30,2.9624757752469,2.67793093433972,3.28170923920253,557,213.975,762.05,548.075,0,0
556,"RG Twose",80,2.96235797672752,2.82172976573407,3.10773299235812,553,384.95,683,298.05,0,0
557,"LPC Silva",62,2.96220594584162,2.79306312365432,3.1337643019492,549,361,701.025,340.025,0,0
558,"SF Mire",46,2.96152728344638,2.80268610986569,3.12339055881757,553,367.975,696,328.025,0,0
559,"ML Hayden",155,2.96071710889739,2.83418283447456,3.09010378849827,554,401.95,673.025,271.075,0,0
560,"L Vincent",99,2.96048713092922,2.79533206051881,3.13791370596077,557,351.875,699.025,347.15,0,0
561,"Wasim Raja",45,2.96030029274055,2.76773164694099,3.17958247967245,560,307,722.025,415.025,0,0
562,"D Mongia",51,2.96018063092576,2.7617950018463,3.14986187403546,553,346.9,714,367.1,0,0
563,"CR Ervine",124,2.95950734536528,2.82867730624902,3.099038715324,553,395.95,672,276.05,0,0
564,"DP Viljoen",41,2.9594914965133,2.71060356926657,3.22535660878823,559,265.975,751.025,485.05,0,0
565,"Naeem Islam",50,2.95822723453417,2.74991688934409,3.18643922360737,556.5,304,735.025,431.025,0,0
566,"T Taibu",137,2.95792977634116,2.81986809966791,3.09816403931395,554,397.95,687.025,289.075,0,0
567,"AM Rahane",87,2.95774542063167,2.81465541527009,3.11971274682709,558,368.95,682.075,313.125,0,0
568,"Sikandar Raza",144,2.95721294675131,2.78968329047677,3.12610704373674,558,359.975,704.025,344.05,0,0
569,"HDRL Thirimanne",105,2.95609097428821,2.82749000726456,3.10067066108386,562,396.975,677.025,280.05,0,0
570,"PA de Silva",296,2.95595756173982,2.85659102723582,3.06992136821138,561,428.975,649,220.025,0,0
571,"NN Odhiambo",50,2.95572389928163,2.77468839699285,3.14714744288456,558,335.975,710.075,374.1,0,0
572,"GA Hick",118,2.95376154674148,2.8235348012304,3.0852912570008,562,406.85,675.025,268.175,0,0
573,"Mohammad Hafeez",216,2.95362055075996,2.83419910741361,3.08817318837446,560,418.95,681,262.05,0,0
574,"JF Mooney",55,2.95353863773028,2.72092105550273,3.18759586321461,563,285,747.025,462.025,0,0
575,"MC Snedden",51,2.95335257866407,2.73723521043445,3.1607378791119,565,315.95,733.05,417.1,0,0
576,"SG Law",50,2.95260194019893,2.79591672333092,3.11158068011613,561.5,373,704,331,0,0
577,"TN de Grooth",32,2.95248203545973,2.7402914931148,3.17703271027601,560,305.95,737,431.05,0,0
578,"ME Trescothick",122,2.95232520461782,2.81692332290207,3.0908566013092,564,403.975,683.075,279.1,0,0
579,"PA Patel",34,2.95228943909134,2.76155661433048,3.16673168322734,566,323.925,722.025,398.1,0,0
580,"RT Ponting",364,2.95088464590892,2.85189727208587,3.04634295462266,563,447.975,655,207.025,0,0
581,"A Vala",66,2.95019498903149,2.78839789773993,3.13415503973102,566,360.975,710,349.025,0,0
582,"NH Fairbrother",71,2.94673014123282,2.7954622674986,3.10263657942761,570,390.825,696.025,305.2,0,0
583,"JG Bracewell",43,2.94637281341014,2.75424692917664,3.17831848089729,579.5,302.95,730,427.05,0,0.001
584,"AJ Stewart",162,2.94592192257088,2.82338909452507,3.06651100537189,568,429.95,678.025,248.075,0,0
585,"A Flintoff",122,2.94537832751769,2.78312826082502,3.11769549339309,567,374.975,708.025,333.05,0,0
586,"DM Jones",161,2.94495679927189,2.80273028590029,3.09004242960852,573,399.975,694.025,294.05,0,0
587,"JE Emburey",45,2.94291370651625,2.70372170124018,3.18907924797744,576,300.95,747,446.05,0,0
588,"RIC Holder",31,2.94268866900358,2.73530901692568,3.15162471705041,571,337.875,736.025,398.15,0,0
589,"ZE Green",44,2.9425609868658,2.75121437683819,3.12712275198591,570,358.975,729.025,370.05,0,0
590,"JDP Oram",116,2.939371923932,2.75447792015794,3.14185490582882,581,346.8,727.075,380.275,0,0
591,"FDM Karunaratne",46,2.93839070752989,2.74028973320066,3.14607176085283,581.5,342,736.025,394.025,0,0
592,"KU Carty",40,2.93791763383022,2.75281451721337,3.13036278493165,584.5,364,724.025,360.025,0,0
593,"Vikramjit Singh",45,2.93756722676433,2.70799910529636,3.27473885053397,593,223.925,754.05,530.125,0,0
594,"Ahmed Shehzad",81,2.93756373944084,2.77365545152585,3.09774015772798,579.5,401.925,719,317.075,0,0
595,"ME Waugh",236,2.93618998085331,2.80893590990938,3.07096358624142,579,432.925,695.025,262.1,0,0
596,"VG Kambli",97,2.93548775233739,2.77163634150406,3.10138539072769,577,388.975,719,330.025,0,0
597,"W Madhevere",37,2.93543834920418,2.71532526765561,3.21984103687437,591,262.975,750,487.025,0,0
598,"W Barresi",54,2.93209687954377,2.75580429809115,3.11880531697077,587.5,369,728,359,0,0
599,"MG Erasmus",62,2.93171424399325,2.76851826128368,3.08422621408987,583,404.975,716.025,311.05,0,0
600,"MD Patel",66,2.93127815984961,2.77079098966686,3.08291809122963,583,409.7,716,306.3,0,0
601,"DL Houghton",60,2.93044513021427,2.75936168692892,3.11156102475001,587,372.9,726,353.1,0,0
602,"DLS van Bunge",31,2.93043793006153,2.70380954917869,3.19302233727924,595.5,295.85,753.025,457.175,0,0
603,"WU Tharanga",223,2.9299953265478,2.79647317051005,3.0800703350729,586.5,417.975,703.025,285.05,0,0
604,"KH Prajapati",36,2.92827673472621,2.73009605050655,3.12668585937929,588.5,367.975,737,369.025,0,0
605,"RR Watson",35,2.92802773277089,2.74302024343676,3.14849782788423,594.5,331.975,732.025,400.05,0,0
606,"RK Paudel",68,2.92773387362807,2.74789789519117,3.1479978883665,600.5,347.95,728.05,380.1,0,0
607,"ADS Fletcher",25,2.92607049531276,2.68335003837365,3.16981849136045,591,310.9,759,448.1,0,0
608,"MO Odumbe",59,2.92103238447812,2.75371688033395,3.09504546420222,598.5,394.975,729.025,334.05,0,0
609,"SM Gavaskar",102,2.92094022557219,2.76689271488091,3.10271927041307,600,384.95,724,339.05,0,0
610,"LMP Simmons",65,2.92079746455895,2.75699300935971,3.10883638237395,597,395.85,724.025,328.175,0,0
611,"Zeeshan Maqsood",47,2.91972454701922,2.68441028778394,3.17596590219169,600.5,318.85,764,445.15,0,0
612,"CM Spearman",50,2.91848632393735,2.71730203602222,3.12200670548963,603,364.95,747,382.05,0,0
613,"Asad Shafiq",58,2.91848541880684,2.76703164240103,3.07760495971225,600,411.975,722.025,310.05,0,0
614,"Aaron Jones",52,2.91737597342861,2.74416891880383,3.11856421966579,603,380,731.05,351.05,0,0
615,"Hashmatullah Shahidi",91,2.91557585168383,2.7719638713325,3.05395551823989,601,442,714.025,272.025,0,0
616,"JJ Roy",110,2.91221290056225,2.76244926344841,3.05511046705046,603.5,441.95,724.025,282.075,0,0
617,"R Mutumbami",34,2.91038223288807,2.71333866853823,3.13303335165046,611.5,365.925,749.025,383.1,0,0
618,"SA Thomson",51,2.91034694416095,2.73489124228979,3.14341558232775,611,336.925,736.025,399.1,0,0
619,"S Chanderpaul",251,2.90859870677068,2.79846913574314,3.01412466432157,606,486.95,698,211.05,0,0
620,"CO Obuya",89,2.90629255914937,2.73885247616469,3.06740896364379,610,428.95,738,309.05,0,0
621,"DW Hookes",36,2.90303234838201,2.70570623664149,3.1136812667315,615.5,382.95,751,368.05,0,0
622,"DI Gower",111,2.90268905072914,2.77069946085402,3.04350229216373,615,456.975,718,261.025,0,0
623,"MP O'Dowd",64,2.90136154962968,2.75073248366124,3.05968393943902,615,432,729.025,297.025,0,0
624,"CJ Chibhabha",109,2.90040822118891,2.74813615326699,3.04472358518311,615,459.975,732,272.025,0,0
625,"J Mubarak",37,2.89831154812753,2.69182138609619,3.09889149173654,619.5,400.875,756,355.125,0,0
626,"RMH Binny",46,2.8965265143462,2.72545958080033,3.07587517257174,622.5,405.975,745.025,339.05,0,0
627,"SE Marsh",72,2.89643781028116,2.74682924283961,3.0403556065049,620,462,731.025,269.025,0,0
628,"DM Bravo",116,2.89635199207039,2.76181281211744,3.04851398370981,622,458.875,723.025,264.15,0,0
629,"Yashpal Sharma",40,2.89565267903738,2.68706100100893,3.11086584131123,619,370.95,762,391.05,0,0
630,"Younis Khan",253,2.89558151121493,2.7734163834149,3.04362047890894,623,463,722.025,259.025,0,0
631,"Mohammad Ashraful",169,2.89408979001087,2.76460401037624,3.02710946409531,624,479.95,724,244.05,0,0
632,"SJ Modani",34,2.89385238465204,2.63968713318943,3.18112440226225,631,304.8,776,471.2,0,0.001
633,"NT Broom",39,2.89301273256053,2.70429971441111,3.08758344758481,625,403.85,753.025,349.175,0,0
634,"DS Smith",45,2.89183370365975,2.70960521289535,3.0729130639511,620,426.95,747.025,320.075,0,0
635,"OA Shah",65,2.89155272338314,2.75746460981236,3.04137374252237,626,457,725.025,268.025,0,0
636,"ES Szwarczynski",40,2.89106544300666,2.70036763038306,3.08076215112631,623,416,752.05,336.05,0,0
637,"RC Irani",30,2.89102765064764,2.63977818440259,3.15720250346776,628,319,776.025,457.025,0,0
638,"AR White",46,2.8908041847034,2.71642974728929,3.07625300503139,624,421.975,745,323.025,0,0
639,"CJA Amini",49,2.89024396190815,2.71671834244706,3.07594791121352,628.5,422.95,745,322.05,0,0
640,"Saleem Elahi",47,2.88761592582585,2.72062704472377,3.08003894098836,630,414,745.05,331.05,0,0
641,"DJ Cullinan",133,2.88685857357762,2.75581396418828,3.01623357004126,627,490.95,729.025,238.075,0,0
642,"K Bhurtel",62,2.8865141486924,2.69559981337349,3.11307401990193,635,383.975,754,370.025,0,0
643,"SR Waters",20,2.88543820152123,2.57139413324509,3.25951788597141,644,233.9,792.075,558.175,0,0.002
644,"V Aravind",63,2.88489958776738,2.68976064863901,3.09648786044246,635,386.95,756,369.05,0,0
645,"JN Frylinck",44,2.88482143261786,2.63151371719052,3.22485883257136,646,256.825,777.075,520.25,0,0
646,"HH Dippenaar",95,2.8845701648177,2.74576573596345,3.02714459543989,634,476,732.025,256.025,0,0
647,"Samiullah Shinwari",74,2.88455942826615,2.73830319257584,3.03860032582093,632.5,465.95,737,271.05,0,0
648,"GM Hamilton",38,2.88403755985966,2.68712132510406,3.13091349397778,638,370.725,766,395.275,0,0
649,"EC Joyce",77,2.88366587557665,2.7279816271097,3.03946600087559,632,466.95,741.025,274.075,0,0
650,"MJ Greatbatch",82,2.88332399410206,2.71660027898588,3.0596376677427,634.5,449.8,748,298.2,0,0
651,"MH Cross",96,2.88172251257253,2.74221334799771,3.0356877128006,637,467.925,738,270.075,0,0
652,"DW Randall",45,2.87939630710355,2.70938322141996,3.06550751605684,641,432.975,751,318.025,0,0
653,"Khaled Mashud",108,2.87839378003592,2.72734870954605,3.03561627496118,638,468,736.075,268.075,0,0
654,"CG Greenidge",127,2.87371816878924,2.74508504054457,3.01421972637237,644,493.975,732,238.025,0,0
655,"GM Turner",40,2.87371152154311,2.69095861705642,3.07133592385931,644,434.875,757.025,322.15,0,0
656,"M Prabhakar",97,2.87286542767955,2.71874454882221,3.04451222839725,643,460.975,744.05,283.075,0,0
657,"Nawroz Mangal",48,2.87166954691752,2.68306515487592,3.09962613193207,652,392.975,760,367.025,0,0
658,"PK Amre",30,2.87045093054463,2.63328306474657,3.1298941096236,648,359.9,779,419.1,0,0
659,"PJ Moor",43,2.86919416773686,2.66510871195954,3.09598363340963,648,402.95,763.025,360.075,0,0
660,"Nasir Jamshed",48,2.86805279037052,2.68821996141744,3.04564113789369,648,450,754,304,0,0
661,"VS Solanki",46,2.86694531716388,2.68365106956893,3.058875084927,645,441.925,760,318.075,0,0
662,"A Ranatunga",253,2.86670973517402,2.71205958679986,3.02889284452726,647,484.925,749,264.075,0,0
663,"RR Hendricks",38,2.86581092045335,2.66388036568008,3.07974357374152,652.5,424.95,763.025,338.075,0,0
664,"MP Vaughan",82,2.86479024756552,2.71786533249173,3.04007095890984,652,457,748.025,291.025,0,0
665,"DB Vengsarkar",120,2.8647879307486,2.72999157411552,2.99676273306346,647,515.95,739.05,223.1,0,0
666,"Imrul Kayes",78,2.86456203845645,2.70883169923798,3.02694174631933,651,481.925,751,269.075,0,0
667,"NJ O'Brien",101,2.8641087970259,2.73539855952417,3.00425645608156,651.5,515.95,737,221.05,0,0
668,"JD Ryder",41,2.86327558893075,2.6413923446132,3.0921718427576,654,381.95,774.05,392.1,0,0
669,"XM Marshall",37,2.86232019556469,2.63455849695994,3.11721088707431,651,375,779,404,0,0
670,"PN Kirsten",40,2.8617701724465,2.54306492909134,3.39180311894011,678,132.975,801,668.025,0,0.003
671,"SV Manjrekar",69,2.86156965306061,2.71920948525487,3.025873524878,653,487.95,748,260.05,0,0
672,"RD Berrington",125,2.86064925436347,2.69691151252326,3.01783931644268,651,495.925,756,260.075,0,0
673,"GS Blewett",30,2.85854931801608,2.6329100976713,3.08339846534275,653,417.975,780,362.025,0,0
674,"A Jadeja",179,2.85804347961023,2.67162770043134,3.0486934689939,655,456.975,765.025,308.05,0,0
675,"Salman Butt",77,2.85659307998077,2.67555652464509,3.05458671629007,660,447.975,761,313.025,0,0
676,"SV Carlisle",107,2.85348379255568,2.71609389523971,3.00755109622062,660.5,500.975,749.025,248.05,0,0
677,"GM Ritchie",42,2.85252450682548,2.65153099717534,3.07326726788198,660.5,413.975,772,358.025,0,0
678,"JJ Smit",48,2.85239539053399,2.66831768526651,3.03950679008462,659,463.9,772,308.1,0,0
679,"Imran Farhat",58,2.85020218914685,2.70077189164945,3.01368709370465,664,499.9,753,253.1,0,0
680,"MJR Rindel",22,2.84990263542816,2.60170457634259,3.14137253519821,665,335.925,787.025,451.1,0,0
681,"GW Flower",212,2.84910138742076,2.73829418012557,2.97406071733082,664,542.975,734.025,191.05,0,0
682,"BA Young",73,2.84902296378103,2.69336797961828,3.00620440085201,664,495.875,755,259.125,0,0
683,"Najmul Hossain Shanto",57,2.8481413328845,2.66766289142862,3.05329080298754,669,443.7,762.05,318.35,0,0
684,"GP Howarth",65,2.84789501074178,2.67571937951086,3.06698871377372,672,440.875,763,322.125,0,0
685,"B Zuiderent",56,2.84753120764488,2.67506629319937,3.03497254052516,667,473.975,763,289.025,0,0
686,"G Malla",37,2.84639261504125,2.65674021863219,3.06301466136931,667,433.975,769.025,335.05,0,0
687,"DO Obuya",73,2.84595851212963,2.67970159382827,3.02717555841362,667.5,479.875,761.025,281.15,0,0
688,"H Masakadza",208,2.84555824892549,2.73426921176573,2.95499218253764,665,566.975,737.025,170.05,0,0
689,"KR Rutherford",115,2.84482682382469,2.69552378830921,3.00392116312966,668,516.925,755,238.075,0,0
690,"ADR Campbell",184,2.84469698130998,2.73897379080276,2.9670338887883,668,550,741,191,0,0
691,"Aamer Sohail",155,2.83897137815898,2.72456961136813,2.9609071208808,671,560.95,743,182.05,0,0
692,"RM Haq",40,2.83758789091847,2.63838567791528,3.04605700288112,672,462.925,778,315.075,0,0
693,"SC Ganguly",300,2.83500051683722,2.73443049435851,2.94290280018082,674,574.95,735,160.05,0,0
694,"G Kirsten",185,2.83430113444599,2.71839985892986,2.94614816260895,675,580.975,742.025,161.05,0,0
695,"HP Tillakaratne",167,2.83315491285159,2.71874270045013,2.93903476907778,675,578.975,746.025,167.05,0,0
696,"KJ Hughes",87,2.83205026665337,2.67274364275644,2.98642945922805,675.5,522.975,765.025,242.05,0,0
697,"ND McKenzie",55,2.8308685352635,2.66975005097191,3.00536762272177,677.5,510.975,765,254.025,0,0
698,"N Hussain",87,2.82877977783768,2.67207199634888,3.0005939872161,679,505.925,766,260.075,0,0
699,"JH Davey",29,2.82826080311401,2.58160097059978,3.13535194659238,687,357.875,791.025,433.15,0,0
700,"Tushar Imran",40,2.82822107281464,2.58727881179277,3.08299964129281,683,404.95,791,386.05,0,0
701,"Al Sahariar",29,2.82637470323343,2.59361726702754,3.07118745332881,684,423.875,787.025,363.15,0,0
702,"PG Fulton",46,2.82547514298724,2.66081156913855,2.99222730728494,682,521.975,766,244.025,0,0
