"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
757,"T Mupariwa",32,2.64876720749465,2.14810696879932,3.16131106061558,749,532,810,278,0,0
758,"KM Jarvis",32,2.64696077118649,2.18249157529153,3.16942987953324,751,536,808,272,0,0
759,"DN Patel",63,2.63888459823806,2.28668297188087,3.00746108937179,751,627.95,801,173.05,0,0
760,"Mushtaq Ahmed",73,2.63135442784624,2.24646220429983,3.04050619313927,753,609.95,804,194.05,0,0
761,"DK Morrison",40,2.62718619916416,2.15480618242193,3.12633271156929,756,557.95,809,251.05,0,0
762,"A Dutt",38,2.62588167828686,2.14531030570469,3.20926591258467,756,501.875,810,308.125,0,0
763,"CRD Fernando",54,2.62195094354541,2.19816365292489,3.07938401719368,756,586.85,808,221.15,0,0
764,"NN Odhiambo",50,2.621676733489,2.2478553673308,2.98580821925258,753,636.925,803.025,166.1,0,0
765,"MJ Henry",37,2.61776273530747,2.18988639770649,3.06870317767929,755,592.975,808.025,215.05,0,0
766,"GB Brent",52,2.61301718664152,2.22366065425825,3.03389572622668,757,609.975,806.025,196.05,0,0
767,"C Pringle",39,2.60258040237275,2.09727424399753,3.10908516351601,759,566.8,812,245.2,0,0
768,"BAW Mendis",40,2.60159707102038,2.12307954964519,3.14660098584432,759,550,810,260,0,0
769,"AME Roberts",32,2.60158502079597,2.17027350406273,3.0862045988952,758,584.9,809,224.1,0,0
770,"M Morkel",42,2.59387768965763,2.14777313342439,3.0836254703765,763,588.925,809,220.075,0,0
771,"TA Boult",50,2.59276587869104,2.13245974995445,3.05946912251202,761,595,810,215,0,0
772,"BJ McCarthy",30,2.5729113345438,2.13061339304146,3.07884798764573,763,584.85,811,226.15,0,0
773,"MA Holding",40,2.57234448336685,2.12520675745622,3.03487140043168,764.5,621.8,811,189.2,0,0
774,"GF Lawson",51,2.56642686241459,2.1703280270061,2.99480784812686,765,628.975,809,180.025,0,0
775,"Mustafizur Rahman",52,2.56602702947677,2.0842782028657,3.10860513381072,765,564.975,812.025,247.05,0,0
776,"MA Suji",49,2.55367351894212,2.12347159303622,3.05315328324916,768,610.725,811,200.275,0,0
777,"RW Price",58,2.54774790875868,2.16125096350823,2.95144662190281,768,648,809,161,0,0
778,"Waqar Younis",137,2.54479268621595,2.27473355208786,2.82173113029853,768,703,801.025,98.025,0,0
779,"DR Tuffey",46,2.53035742535727,2.08238228980617,2.98620485853451,770.5,638.825,812.025,173.2,0,0
780,"Umar Gul",63,2.52818893261333,2.2117448651598,2.88379153167781,771,681.975,807,125.025,0,0
781,"J Garner",39,2.52095905513156,2.10115557922684,2.99341717820306,773,636,812,176,0,0
782,"PS de Villiers",30,2.51686091645125,2.02150001791171,3.04108499785874,774,601.95,814.025,212.075,0,0
783,"LH Ferguson",30,2.5153018992456,2.02592226905763,3.03199584050392,774,610.95,814,203.05,0,0
784,"A Zampa",57,2.50838507878255,2.14124320493506,2.88144590880659,775,676.975,810,133.025,0,0
785,"Mohammad Irfan",30,2.50342347067599,1.82520659530284,3.2608791407056,778,466.85,816,349.15,0,0
786,"DK Lillee",33,2.4955417202864,2.0661862137466,2.99959916069994,778.5,628.95,813,184.05,0,0
787,"JM Anderson",69,2.4787528871487,2.06889431473896,2.93021991309035,780,661.975,813,151.025,0,0
788,"CD Collymore",33,2.47860848294509,1.9554167622335,3.12766852013328,779,558,815,257,0,0
789,"J Srinath",117,2.47002290539338,2.18491119880186,2.75672926446425,781,719.975,807,87.025,0,0
790,"Saeed Ajmal",67,2.46518216954403,2.02128087723841,3.08040250693775,784,587.925,814.025,226.1,0,0
791,"Shoaib Akhtar",77,2.45961423792874,2.10357235987523,2.84347580190486,783,689.975,812.025,122.05,0,0
792,"AR Whittall",35,2.45535165455978,1.98283571842185,2.93435687302542,783.5,655.95,815,159.05,0,0
793,"Mohammed Shami",49,2.44781929765447,2.00190236693422,2.87317252162347,782,680.95,814,133.05,0,0
794,"PJ Ongondo",61,2.43118717370635,2.07571768446825,2.79360681266307,786,709,813,104,0,0
795,"JR Thomson",30,2.42939640534962,1.91940063696285,2.97801561099881,788,636,816,180,0,0
796,"DW Steyn",51,2.42928427705135,2.04673474700634,2.81297320672393,785,699.975,814,114.025,0,0
797,"Zahoor Khan",39,2.42741784425082,1.94445422264751,2.94662043050813,788,653.95,815,161.05,0,0
798,"GF Labrooy",35,2.42277717102489,2.0186474599942,2.88960957886875,787,674,814,140,0,0
799,"GP Wickramasinghe",63,2.41555437829167,2.05347389067984,2.81709433402324,789,699.925,813,113.075,0,0
800,"Shafiul Islam",34,2.41171694917812,1.89060385418673,2.97541932115631,790,640.975,816,175.025,0,0
801,"M Dillon",48,2.40324063035669,1.96035679186956,2.86828985253587,790,686,815,129,0,0
802,"BKV Prasad",56,2.39146913443114,1.97812603739287,2.84170976109351,791,684.975,815,130.025,0,0
803,"A Nehra",44,2.39089422030729,1.91838599330367,2.93167268900554,791,659.975,816,156.025,0,0
804,"CA Walsh",77,2.37579676213128,2.04404815061994,2.72830171936519,793,728.975,813.025,84.0500000000001,0,0
805,"Taskin Ahmed",45,2.35948257943885,1.96598981554871,2.79433264325876,795,707.925,815,107.075,0,0
806,"TL Chatara",56,2.30720735840107,1.89512127833127,2.73800949171922,800,724.975,816,91.025,0,0
807,"T Panyangara",47,2.29918234613519,1.91531497069405,2.70025514541153,800,734.975,816,81.025,0,0
808,"WKM Benjamin",50,2.28046677690072,1.90967070400372,2.68108615184276,801.5,736.975,816,79.025,0,0
809,"CJ McDermott",75,2.26322377241148,1.90798507537926,2.62080676075229,803,752,816,64,0,0
810,"AA Donald",38,2.26255546196568,1.73956951992146,2.8372690466508,803,699,817,118,0,0
811,"SL Malinga",113,2.2620127628624,1.97452966077951,2.55475156678687,803,763,815,52,0,0
812,"JE Taylor",42,2.25959304011656,1.78604058024731,2.7944940998482,803,712.8,817,104.2,0,0
813,"M Muralidaran",150,2.24195042332223,1.96660569218285,2.53573725422689,805,771.975,815,43.025,0,0
814,"B Muzarabani",39,2.2070017458827,1.71891016161954,2.7681200513695,807,713.95,817,103.05,0,0
815,"Rubel Hossain",47,2.12430410679571,1.68999068504133,2.61056579291223,811,755,817,62,0,0
816,"CB Mpofu",38,2.044699709963,1.4807853984866,2.60293727906395,814,755,817,62,0,0
817,"GD McGrath",58,1.95305982554625,1.49742608560666,2.44605244063069,815,785,817,32,0,0
