"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
572,"RW Marsh",77,3.12875964951269,2.8107923763128,3.46650153250985,559.5,318.975,703,384.025,0,0
573,"Mansoor Akhtar",41,3.1279467636533,2.73630316994897,3.53093450332728,553,254.9,721,466.1,0,0
574,"KM Dabengwa",34,3.12736625541521,2.73743528973395,3.54136359706757,557.5,246.9,729.025,482.125,0,0
575,"S Madan Lal",35,3.12647092454152,2.64550609816372,3.65396596910356,561.5,157.825,750.025,592.2,0,0.001
576,"TT Bresnan",63,3.12586310028203,2.78495052022779,3.4779882792138,562.5,295.9,711.025,415.125,0,0
577,"DLS van Bunge",33,3.12458744786428,2.74867821823489,3.54946715124172,560.5,250.975,720,469.025,0,0
578,"J Mubarak",38,3.11942275463291,2.76345089447836,3.51864921254512,565,262.975,719,456.025,0,0
579,"GP Howarth",70,3.11929542912154,2.83619932433261,3.43178920540971,565,337.975,696,358.025,0,0
580,"Rashid Khan",104,3.11921865331464,2.78772540750039,3.47965611888909,563.5,298.95,708.025,409.075,0,0
581,"L Siaka",54,3.11860501544792,2.79659673402708,3.47529705073895,563.5,305.925,711,405.075,0,0
582,"RT Latham",48,3.11771566696869,2.71752277159231,3.53048577987231,564,253.975,730,476.025,0,0.001
583,"GJ Whittall",145,3.11421064794606,2.89055822018371,3.32429459315074,566,418.95,672,253.05,0,0
584,"DD Ebrahim",85,3.10956901742611,2.78249219832468,3.4617165890384,577,307.925,712.025,404.1,0,0
585,"PL Symcox",53,3.10907547578324,2.73475191339453,3.55817477375749,570.5,243.875,729.025,485.15,0,0.001
586,"BMAJ Mendis",44,3.10730769226004,2.73132355493901,3.4849230236618,568.5,292.825,728,435.175,0,0
587,"PK Amre",30,3.10638578047585,2.68427663650887,3.5761318554994,574.5,214.875,739,524.125,0,0
588,"AR Nurse",38,3.10193751712415,2.70427551764588,3.54675813970163,576,256.575,732,475.425,0,0
589,"CS Baugh",34,3.10012698100324,2.67247701345573,3.55594151298174,582,234.9,739.025,504.125,0,0
590,"MF Maharoof",73,3.09944451149401,2.79480188128132,3.43724733473124,576,336.95,709.05,372.1,0,0
591,"B Lee",105,3.09866909269307,2.8167640103296,3.43957985724772,575,335,702.025,367.025,0,0
592,"MC Snedden",52,3.09644426302471,2.6894118042245,3.50881050818005,578,267,738.025,471.025,0,0
593,"Rashid Latif",115,3.09412640239999,2.76091726759061,3.41135258471027,578,353.975,714.025,360.05,0,0
594,"R McLaren",41,3.09053879170339,2.6959818066857,3.52613415188784,582.5,264.775,735,470.225,0,0
595,"Dawlat Zadran",53,3.08513220121778,2.69544758784925,3.51361980294393,584,274.875,739.025,464.15,0,0
596,"PJ Moor",45,3.08470272982746,2.73665140773709,3.44948096024399,589,314.95,725,410.05,0,0
597,"GJ Rennie",38,3.08244000463251,2.68324721460093,3.50705327195867,589,282.925,736,453.075,0,0
598,"Junaid Siddique",101,3.08194315153158,2.73102667290436,3.42617886405878,580.5,352.8,724.05,371.25,0,0
599,"XM Marshall",48,3.08159908891153,2.70216930741994,3.50472809931892,586,282,736.025,454.025,0,0
600,"Habibul Bashar",104,3.08142891663121,2.83891753461291,3.33248325855715,587,422,690,268,0,0
601,"Iftikhar Anjum",32,3.08108662307862,2.59104965386334,3.61430860413874,582,189.975,760.05,570.075,0,0.001
602,"M Theekshana",31,3.07936157222817,2.63049910505911,3.57758891885066,591,214.8,753,538.2,0,0
603,"NL McCullum",62,3.07752099362718,2.77069708740331,3.39471911152254,586,368.675,720,351.325,0,0
